Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene13023	19.2642462845813	-2.22935854589741	1.21779690198484	-1.83064888920628	0.0671529663919328	1	4	83	5	12	9	1	4	16
gbgene13028	24.170524752748	-2.19598395820062	1.83054159243766	-1.199636199075	0.230280661418525	1	6	117	0	0	14	6	1	13
gbgene13099	346.067857907507	-1.20372792568817	0.94699950800753	-1.27109667482383	0.203694258148921	1	2128	102	123	127	239	92	379	201
gbgene13429	1286.54663433028	-5.18915266501134	1.32089311137058	-3.92851822781254	8.54708733728177e-05	1	200	7307	163	94	57	32	98	124
gbgene13495	15.2660030317959	-0.68293499767003	1.04461390030573	-0.653767863389672	0.513261373830537	1	3	3	7	74	7	14	17	11
gbgene13652	661.298812277127	-4.84748766734204	1.22759106780737	-3.94878049740153	7.85503368990195e-05	1	269	3530	121	171	70	5	56	61
gbgene13677	82.0230664868562	2.15325687892792	1.03245671987485	2.08556623970537	0.0370179321258877	1	18	5	68	42	33	330	72	34
gbgene13679	2027.06357185755	1.53888513487653	0.782557482812312	1.96648191177748	0.0492429697419297	1	892	696	1740	1086	1081	6777	1478	1479
gbgene13806	71.2076667360285	1.16208611706797	0.907359184233117	1.28073439632414	0.200286973877944	1	17	50	63	45	21	34	44	396
gbgene13816	13.6082431356769	-6.5336865931626	2.28538578583008	-2.85889876172022	0.00425114432267597	1	0	80	1	2	0	0	0	1
gbgene13821	368.867947225902	2.6877894432781	1.69069331074541	1.58975576835581	0.111889867596233	1	4	0	249	185	28	1797	53	287
gbgene13882	16.2752503664602	-0.763419578257465	1.92038801533294	-0.397534025500107	0.690973700566639	1	7	0	1	90	38	0	3	1
gbgene13953	16.1308519948458	-3.86363813882669	1.91762157448882	-2.01480740007664	0.043924833379733	1	151	7	0	0	0	3	4	2
gbgene14073	9.17370128073208	2.38542670830877	3.25720210304231	0.732354527857119	0.4639522055864	1	0	0	0	14	0	0	81	0
gbgene14144	230.892804547194	-0.915294263902345	1.27293616227589	-0.719041764251466	0.472115187206198	1	116	782	75	22	32	409	57	57
gbgene14145	414.891228502531	-1.22434246819609	1.20360693707452	-1.01722782619712	0.309045061575151	1	133	1552	128	68	97	558	108	125
gbgene14150	590.379783100428	0.205630369891036	1.21594265642111	0.169111897510256	0.865708626856722	1	337	1306	152	92	128	1682	135	203
