Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg5789,0,0,0,0,0,0,0,0
jg36553,70,292,95,214,156,19,172,198
jg451,2,50,9,5,36,10,13,23
jg19813,9,14,5,14,9,3,9,15
jg24530,20,21,64,57,36,30,57,66
jg5621,10,9,119,18,23,1,42,14
jg33444,1,10,2,5,4,2,7,12
jg4366,0,0,0,0,0,0,0,0
jg10410,0,0,0,18,7,2,11,1
jg8038,14,2,6,7,10,6,6,4
jg1713,423,1059,420,816,466,200,990,1048
jg13855,944,1147,1168,673,572,354,1450,1425
jg36607,243,622,23,129,201,5,223,340
jg6528,15,16,17,12,13,10,32,21
jg7156,4,22,3,13,8,1,11,8
35818_g,0,0,0,0,0,0,0,0
24481_g,0,0,0,0,0,0,0,0
jg28736,160,185,953,216,1145,323,3057,4176
jg36707,0,2,0,0,0,0,0,0
jg21306,87,110,127,108,44,113,88,73
jg18131,0,2,0,0,0,0,0,0
jg5858,0,0,0,0,0,0,0,0
jg17317,22,36,56,70,18,17,45,50
jg24378,225,237,325,364,243,787,458,584
jg16798,0,0,0,0,0,0,3,2
jg24796,584,751,805,694,554,806,976,936
jg3949,0,0,0,0,0,0,0,0
22354_g,1,0,2,2,2,0,3,3
jg17217,13,13,6,4,6,6,2,1
jg25347,5,15,17,24,10,11,13,27
jg19837,0,0,76,99,138,0,110,204
jg36455,0,2,4,1,2,0,2,1
jg4082,42,54,109,75,63,76,92,130
jg395,1,2,1,1,8,0,2,2
jg7339,0,0,0,0,0,0,0,0
jg4770,0,0,0,0,0,0,0,0
jg28482,2,20,7,6,10,0,5,3
jg393,4,0,0,0,0,0,0,1
jg25749,72,127,98,151,149,13,149,128
jg14773,8,20,3,6,8,4,5,11
jg30575,0,0,0,0,0,0,0,0
jg22665,3,0,4,0,1,1,5,2
9853_g,1103,944,1417,1325,953,1808,1584,1418
jg25860,24,15,7,31,33,10,75,35
jg21476,0,0,0,0,0,0,0,0
jg6912,729,1299,843,996,824,637,1233,1157
jg7357,1,115,9,9,4,11,3,2
jg29779,3,1,4,1,7,0,7,3
jg11698,1196,2416,1309,1752,1049,889,1953,2128
jg32856,0,10,1,10,6,0,5,0
jg27926,4,23,3,5,1,0,1,3
jg14575,62,112,78,88,90,44,118,104
jg22205,0,7,0,1,3,1,3,0
jg18615,410,573,417,468,218,365,453,409
jg22940,352,173,358,352,220,745,356,718
jg5507,0,0,2,3,3,0,26,5
jg27016,0,0,0,0,0,0,0,0
jg26548,0,0,0,0,0,0,0,6
jg2211,871,875,531,666,769,492,1165,830
jg8490,0,0,0,0,1,0,0,0
jg1873,1450,3014,1457,3345,2359,34,3454,3363
3898_g,0,0,0,0,0,0,0,0
jg2035,0,2,0,0,1,0,2,0
jg27760,0,0,2,1,0,1,0,1
jg646,0,0,0,0,0,0,5,2
jg18560,791,1057,422,493,505,396,702,782
jg1204,87,161,208,223,106,192,221,179
jg14707,23,81,105,73,22,104,34,54
jg82,0,0,0,0,0,0,0,0
jg30565,9,0,0,0,0,0,0,4
jg14740,0,0,0,1,0,0,0,0
31853_g,0,0,0,0,0,0,0,0
jg26847,0,0,0,0,0,0,0,0
jg432,10,15,0,0,0,0,0,0
jg33406,0,0,0,0,0,0,0,0
jg5059,0,0,0,0,0,0,0,0
jg1076,214,587,399,427,300,470,424,586
jg6267,1,7,0,2,0,0,2,0
jg7104,71,126,70,79,65,14,144,92
jg20226,0,0,1,0,0,0,1,0
jg12458,0,2,0,22,10,28,0,0
jg15501,0,1,1,12,4,3,5,5
jg7662,0,0,0,2,0,0,0,0
